,state_number,consecutive_number,vehicle_number,driver_distracted_by,driver_distracted_by_name
327,48,482338,5,0,Not Distracted
328,48,482192,5,0,Not Distracted
329,48,482164,6,0,Not Distracted
330,48,482164,5,0,Not Distracted
331,48,482275,5,0,Not Distracted
332,48,482249,5,0,Not Distracted
333,48,482609,7,0,Not Distracted
334,48,482609,6,0,Not Distracted
335,48,482609,5,0,Not Distracted
336,48,480637,5,0,Not Distracted
337,48,480637,6,0,Not Distracted
338,48,480654,5,0,Not Distracted
339,48,481459,5,0,Not Distracted
340,48,481458,6,0,Not Distracted
341,48,481458,5,0,Not Distracted
342,48,481459,6,0,Not Distracted
343,48,481459,12,0,Not Distracted
344,48,481459,11,0,Not Distracted
345,48,481459,10,0,Not Distracted
346,48,481459,9,0,Not Distracted
347,48,481459,8,0,Not Distracted
348,48,481459,7,0,Not Distracted
349,48,481509,5,0,Not Distracted
350,48,481764,5,0,Not Distracted
351,48,480995,5,0,Not Distracted
352,48,480997,7,0,Not Distracted
353,48,480997,6,0,Not Distracted
354,48,480997,5,0,Not Distracted
355,48,480725,5,0,Not Distracted
356,48,480683,5,0,Not Distracted
357,48,481278,5,0,Not Distracted
358,49,490229,5,0,Not Distracted
359,49,490261,5,0,Not Distracted
360,51,510410,8,0,Not Distracted
361,51,510410,7,0,Not Distracted
362,51,510410,6,0,Not Distracted
363,51,510410,5,0,Not Distracted
364,53,530230,12,0,Not Distracted
365,53,530230,11,0,Not Distracted
366,53,530230,10,0,Not Distracted
367,53,530230,9,0,Not Distracted
368,53,530230,8,0,Not Distracted
369,53,530230,7,0,Not Distracted
370,53,530230,6,0,Not Distracted
371,53,530230,5,0,Not Distracted
372,53,530106,5,0,Not Distracted
373,53,530218,8,0,Not Distracted
374,53,530218,7,0,Not Distracted
375,53,530218,6,0,Not Distracted
376,53,530218,5,0,Not Distracted
377,53,530431,5,0,Not Distracted
378,53,530079,6,0,Not Distracted
379,53,530079,5,0,Not Distracted
380,54,540168,6,0,Not Distracted
381,54,540168,5,0,Not Distracted
382,54,540212,12,0,Not Distracted
